"","X","pob","indiv","fruto","tiempo","sv","masa","l_cipsela","a_cisela","l_papus","altura_sitio","capitulos","altura_planta","prob_germ","germ","area_p","vol_c","pl_m","pl_v"
"105",107,"cm",3,3,2.21676,0.992439416084736,2.04,4.297,0.95,6.33,1170,60,81,0.949858719589242,1,125.880161877424,1.52290372853862,0.0162058895506224,0.0120980439318274
"106",108,"ca",3,1,2.25572,0.975298352632419,1.93,3.258,1.084,6.833,1350,54,53,0.918694224294454,1,146.680612279323,1.50338263676703,0.0131578398126994,0.0102493616123182
"107",109,"ca",3,1,2.25936,0.973727073153459,1.93,3.258,1.084,6.833,1350,54,53,0.918694224294454,1,146.680612279323,1.50338263676703,0.0131578398126994,0.0102493616123182
"108",110,"ca",3,1,2.257444,0.974553521593448,1.93,3.258,1.084,6.833,1350,54,53,0.918694224294454,1,146.680612279323,1.50338263676703,0.0131578398126994,0.0102493616123182
"109",111,"ca",3,2,2.7961,0.786810199921319,1.52,3.512,0.89,7.016,1350,54,53,0.622161749865811,1,154.642561028023,1.09243198245882,0.00982911812825291,0.00706423881754556
"110",112,"ca",3,2,2.861324,0.768874828575862,1.52,3.512,0.89,7.016,1350,54,53,0.622161749865811,1,154.642561028023,1.09243198245882,0.00982911812825291,0.00706423881754556
"111",113,"ca",3,2,2.819764,0.780207137902321,1.52,3.512,0.89,7.016,1350,54,53,0.622161749865811,1,154.642561028023,1.09243198245882,0.00982911812825291,0.00706423881754556
"112",114,"ca",3,3,2.412324,0.911983630722905,1.94,3.548,1.093,7.061,1350,54,53,0.922134775719325,1,156.63265001833,1.66450008151516,0.0123856679930588,0.010626775971168
"113",115,"ca",3,3,2.456772,0.89548399281659,1.94,3.548,1.093,7.061,1350,54,53,0.922134775719325,1,156.63265001833,1.66450008151516,0.0123856679930588,0.010626775971168
"114",116,"ca",3,3,2.41322,0.911645022003796,1.94,3.548,1.093,7.061,1350,54,53,0.922134775719325,1,156.63265001833,1.66450008151516,0.0123856679930588,0.010626775971168
"115",117,"cabal",3,1,2.27834,0.965615316414583,2.01,3.41,0.98,6.45,NA,1230,69,0.942705085498708,1,130.698108370969,1.28607535539638,0.0153789524963504,0.00984004567033231
"116",118,"cabal",3,1,2.24672,0.979205241418602,2.01,3.41,0.98,6.45,NA,1230,69,0.942705085498708,1,130.698108370969,1.28607535539638,0.0153789524963504,0.00984004567033231
"117",119,"cabal",3,1,2.255856,0.975239554297792,2.01,3.41,0.98,6.45,NA,1230,69,0.942705085498708,1,130.698108370969,1.28607535539638,0.0153789524963504,0.00984004567033231
"118",120,"cabal",3,2,2.815292,0.7814464716271,1.3,3.25,1.02,6.36,NA,1230,69,0.369414187448945,0,127.076166200646,1.3278334049479,0.0102300851439551,0.0104491144535422
"119",121,"cabal",3,2,2.836136,0.775703280801767,1.3,3.25,1.02,6.36,NA,1230,69,0.369414187448945,0,127.076166200646,1.3278334049479,0.0102300851439551,0.0104491144535422
"120",122,"cabal",3,2,2.77996,0.791378293212852,1.3,3.25,1.02,6.36,NA,1230,69,0.369414187448945,0,127.076166200646,1.3278334049479,0.0102300851439551,0.0104491144535422
"121",123,"cabal",3,3,2.32126,0.947761129731267,2,3.3,0.97,6.31,NA,1230,69,0.940114426085325,1,125.085967254597,1.21931886770209,0.0159890037539483,0.00974784697647434
"122",124,"cabal",3,3,2.372592,0.927255929380189,2,3.3,0.97,6.31,NA,1230,69,0.940114426085325,1,125.085967254597,1.21931886770209,0.0159890037539483,0.00974784697647434
"123",125,"cabal",3,3,2.328808,0.944689300277223,2,3.3,0.97,6.31,NA,1230,69,0.940114426085325,1,125.085967254597,1.21931886770209,0.0159890037539483,0.00974784697647434
"124",126,"candonga",3,1,3.99546,0.550624959328838,0.76,4.693,1.134,7.258,NA,50,135,0.0443018016507747,0,165.49458966406,2.3699356232512,0.00459229514114472,0.0143203208519503
"125",127,"candonga",3,1,4.006444,0.549115375130665,0.76,4.693,1.134,7.258,NA,50,135,0.0443018016507747,0,165.49458966406,2.3699356232512,0.00459229514114472,0.0143203208519503
"126",128,"candonga",3,1,4.003324,0.549543329493191,0.76,4.693,1.134,7.258,NA,50,135,0.0443018016507747,0,165.49458966406,2.3699356232512,0.00459229514114472,0.0143203208519503
"127",129,"candonga",3,2,4.124124,0.533446617996937,1.04,4.27,0.906,7.072,NA,50,135,0.147279694933174,0,157.121051437035,1.37639839042583,0.00661910030825357,0.0087601144330263
"128",130,"candonga",3,2,4.003976,0.549453842880177,1.04,4.27,0.906,7.072,NA,50,135,0.147279694933174,0,157.121051437035,1.37639839042583,0.00661910030825357,0.0087601144330263
"129",131,"candonga",3,2,4.010956,0.54849766489585,1.04,4.27,0.906,7.072,NA,50,135,0.147279694933174,0,157.121051437035,1.37639839042583,0.00661910030825357,0.0087601144330263
"130",132,"candonga",3,3,2.486908,0.884632644231311,2.6,4.25,0.892,7.259,NA,50,135,0.996211940010555,1,165.540196164612,1.32794021909812,0.0157061551226784,0.00802185964415328
"131",133,"candonga",3,3,2.428492,0.905911981591869,2.6,4.25,0.892,7.259,NA,50,135,0.996211940010555,1,165.540196164612,1.32794021909812,0.0157061551226784,0.00802185964415328
"132",134,"candonga",3,3,2.4044,0.914989186491432,2.6,4.25,0.892,7.259,NA,50,135,0.996211940010555,1,165.540196164612,1.32794021909812,0.0157061551226784,0.00802185964415328
"133",135,"cb",4,1,2.15506,1.0208532477054,2.07,3.574,1.149,6.786,960,150,101,0.956160713045509,1,144.669700812909,1.85291070855855,0.014308455663961,0.0128078699143423
"134",136,"cb",4,1,2.165408,1.01597481860231,2.07,3.574,1.149,6.786,960,150,101,0.956160713045509,1,144.669700812909,1.85291070855855,0.014308455663961,0.0128078699143423
"135",137,"cb",4,1,2.131256,1.03225515846055,2.07,3.574,1.149,6.786,960,150,101,0.956160713045509,1,144.669700812909,1.85291070855855,0.014308455663961,0.0128078699143423
"136",138,"cb",4,2,2.285756,0.962482434695567,1.88,3.761,1.049,6.314,960,150,101,0.899335046843961,1,125.244605117232,1.62522762433555,0.0150106265913831,0.0129764281887774
"137",139,"cb",4,2,2.287336,0.961817590419597,1.88,3.761,1.049,6.314,960,150,101,0.899335046843961,1,125.244605117232,1.62522762433555,0.0150106265913831,0.0129764281887774
"138",140,"cb",4,2,2.24116,0.981634510699816,1.88,3.761,1.049,6.314,960,150,101,0.899335046843961,1,125.244605117232,1.62522762433555,0.0150106265913831,0.0129764281887774
"139",141,"cb",4,3,2.076288,1.05958325627273,2.14,3.676,1.006,6.494,960,150,101,0.968053517893261,1,132.487358484524,1.46093653444208,0.0161524844670367,0.0110269881681786
"140",142,"cb",4,3,2.059056,1.0684507852142,2.14,3.676,1.006,6.494,960,150,101,0.968053517893261,1,132.487358484524,1.46093653444208,0.0161524844670367,0.0110269881681786
"141",143,"cb",4,3,2.065812,1.06495654009174,2.14,3.676,1.006,6.494,960,150,101,0.968053517893261,1,132.487358484524,1.46093653444208,0.0161524844670367,0.0110269881681786
"142",144,"cm",4,1,3.893452,0.565051270697571,0.64,3.492,0.925,6.127,1170,90,60,0.0257025901056839,0,117.935793481213,1.17332300601042,0.00542668159604955,0.00994882869209107
"143",145,"cm",4,1,3.842488,0.572545704762123,0.64,3.492,0.925,6.127,1170,90,60,0.0257025901056839,0,117.935793481213,1.17332300601042,0.00542668159604955,0.00994882869209107
"144",146,"cm",4,1,3.87652,0.567519321453262,0.64,3.492,0.925,6.127,1170,90,60,0.0257025901056839,0,117.935793481213,1.17332300601042,0.00542668159604955,0.00994882869209107
"145",147,"cm",4,2,4.383796,0.501848169942214,0.6,3.275,0.704,6.375,1170,90,60,0.0213938135395164,0,127.676288937298,0.637406529946263,0.00469938470951848,0.00499236416762784
"146",148,"cm",4,2,4.476344,0.491472505240884,0.6,3.275,0.704,6.375,1170,90,60,0.0213938135395164,0,127.676288937298,0.637406529946263,0.00469938470951848,0.00499236416762784
"147",149,"cm",4,2,4.330032,0.508079386018394,0.6,3.275,0.704,6.375,1170,90,60,0.0213938135395164,0,127.676288937298,0.637406529946263,0.00469938470951848,0.00499236416762784
