,pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta,prob_germ,germ
200,ca,5,1,2613612,,2.38,3.708,0.858,7.468,1350.0,49,59,0.9894251055254735,1
201,ca,5,2,4279900,,0.86,3.668,1.081,7.634,1350.0,49,59,0.06903165234090282,0
202,ca,5,2,4288584,,0.86,3.668,1.081,7.634,1350.0,49,59,0.06903165234090282,0
203,ca,5,2,4243264,,0.86,3.668,1.081,7.634,1350.0,49,59,0.06903165234090282,0
204,ca,5,3,3550144,,0.99,3.467,1.314,7.429,1350.0,49,59,0.12015359491611369,0
205,ca,5,3,3602320,,0.99,3.467,1.314,7.429,1350.0,49,59,0.12015359491611369,0
206,ca,5,3,3536900,,0.99,3.467,1.314,7.429,1350.0,49,59,0.12015359491611369,0
207,cabal,5,1,3511212,,0.52,4.544,1.002,6.968,,1680,92,0.014791030099998659,0
208,cabal,5,1,3405040,,0.52,4.544,1.002,6.968,,1680,92,0.014791030099998659,0
209,cabal,5,1,3453360,,0.52,4.544,1.002,6.968,,1680,92,0.014791030099998659,0
210,cabal,5,2,2302432,,2.52,4.55,0.893,6.535,,1680,92,0.9944934798676451,1
211,cabal,5,2,2293332,,2.52,4.55,0.893,6.535,,1680,92,0.9944934798676451,1
212,cabal,5,2,2303560,,2.52,4.55,0.893,6.535,,1680,92,0.9944934798676451,1
213,cabal,5,3,2229884,,2.18,4.287,0.824,6.174,,1680,92,0.9733804207202571,1
214,cabal,5,3,2213468,,2.18,4.287,0.824,6.174,,1680,92,0.9733804207202571,1
215,cabal,5,3,2194576,,2.18,4.287,0.824,6.174,,1680,92,0.9733804207202571,1
216,candonga,5,1,2169620,,2.65,4.529,0.997,8.332,,50,110,0.9970025289367358,1
217,candonga,5,1,2182832,,2.65,4.529,0.997,8.332,,50,110,0.9970025289367358,1
218,candonga,5,1,2191640,,2.65,4.529,0.997,8.332,,50,110,0.9970025289367358,1
219,candonga,5,2,2403752,,2.82,4.529,1.05,7.908,,50,110,0.9986490167229214,1
