pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta
cm,5,1,4108080,,0.7,3.925,0.822,6.501,1170,40,55
cm,5,2,3968264,,0.39,3.642,0.789,6.787,1170,40,55
cm,5,2,3924752,,0.39,3.642,0.789,6.787,1170,40,55
cm,5,2,3993292,,0.39,3.642,0.789,6.787,1170,40,55
cm,5,3,4139020,,1.03,3.658,0.865,7.013,1170,40,55
cm,5,3,4225604,,1.03,3.658,0.865,7.013,1170,40,55
cm,5,3,4457164,,1.03,3.658,0.865,7.013,1170,40,55
ca,5,1,2627764,,2.38,3.708,0.858,7.468,1350,49,59
ca,5,1,2640888,,2.38,3.708,0.858,7.468,1350,49,59
ca,5,1,2613612,,2.38,3.708,0.858,7.468,1350,49,59
ca,5,2,4279900,,0.86,3.668,1.081,7.634,1350,49,59
ca,5,2,4288584,,0.86,3.668,1.081,7.634,1350,49,59
ca,5,2,4243264,,0.86,3.668,1.081,7.634,1350,49,59
ca,5,3,3550144,,0.99,3.467,1.314,7.429,1350,49,59
ca,5,3,3602320,,0.99,3.467,1.314,7.429,1350,49,59
ca,5,3,3536900,,0.99,3.467,1.314,7.429,1350,49,59
cabal,5,1,3511212,,0.52,4.544,1.002,6.968,,1680,92
cabal,5,1,3405040,,0.52,4.544,1.002,6.968,,1680,92
cabal,5,1,3453360,,0.52,4.544,1.002,6.968,,1680,92
cabal,5,2,2302432,,2.52,4.55,0.893,6.535,,1680,92
cabal,5,2,2293332,,2.52,4.55,0.893,6.535,,1680,92
cabal,5,2,2303560,,2.52,4.55,0.893,6.535,,1680,92
cabal,5,3,2229884,,2.18,4.287,0.824,6.174,,1680,92
cabal,5,3,2213468,,2.18,4.287,0.824,6.174,,1680,92
cabal,5,3,2194576,,2.18,4.287,0.824,6.174,,1680,92
candonga,5,1,2169620,,2.65,4.529,0.997,8.332,,50,110
candonga,5,1,2182832,,2.65,4.529,0.997,8.332,,50,110
candonga,5,1,2191640,,2.65,4.529,0.997,8.332,,50,110
candonga,5,2,2403752,,2.82,4.529,1.05,7.908,,50,110
candonga,5,2,2394452,,2.82,4.529,1.05,7.908,,50,110
candonga,5,2,2369064,,2.82,4.529,1.05,7.908,,50,110
candonga,5,3,2481524,,2.76,4.439,1.05,8.116,,50,110
candonga,5,3,2517660,,2.76,4.439,1.05,8.116,,50,110
candonga,5,3,2495748,,2.76,4.439,1.05,8.116,,50,110
cb,6,1,2277896,,2.95,4.781,1.092,8.177,960,160,95
cb,6,1,2201404,,2.95,4.781,1.092,8.177,960,160,95
cb,6,1,2191416,,2.95,4.781,1.092,8.177,960,160,95
cb,6,2,2911308,,1.88,4.755,1.227,7.819,960,160,95
cb,6,2,2905112,,1.88,4.755,1.227,7.819,960,160,95
cb,6,2,2950020,,1.88,4.755,1.227,7.819,960,160,95
cb,6,3,2961048,,1.91,4.539,0.999,8.691,960,160,95
cb,6,3,2937776,,1.91,4.539,0.999,8.691,960,160,95
cb,6,3,2985456,,1.91,4.539,0.999,8.691,960,160,95
cm,6,1,3894468,,0.71,3.949,1.037,7.163,1170,45,57
cm,6,1,3936088,,0.71,3.949,1.037,7.163,1170,45,57
cm,6,1,3816164,,0.71,3.949,1.037,7.163,1170,45,57
cm,6,2,3901188,,0.88,3.247,1.036,8.006,1170,45,57
cm,6,2,3918692,,0.88,3.247,1.036,8.006,1170,45,57
cm,6,2,3988904,,0.88,3.247,1.036,8.006,1170,45,57
cm,6,3,2387184,,2.6,3.638,0.933,6.325,1170,45,57
cm,6,3,2432516,,2.6,3.638,0.933,6.325,1170,45,57
cm,6,3,2421768,,2.6,3.638,0.933,6.325,1170,45,57
ca,6,1,3169684,,1.68,4.226,0.917,8.777,1350,84,72
ca,6,1,3159320,,1.68,4.226,0.917,8.777,1350,84,72
ca,6,1,3219128,,1.68,4.226,0.917,8.777,1350,84,72
ca,6,2,2992528,,1.8,3.487,1.005,7.649,1350,84,72
ca,6,2,3043192,,1.8,3.487,1.005,7.649,1350,84,72
